Time,Queue Length,Mean Response Time,Mean Waiting Time,Utilization,Reliability
333,32,47.527314,45.503942,0.984386,1.000000
334,32,47.527314,45.503942,0.984432,1.000000
335,32,47.527314,45.503942,0.984479,1.000000
336,32,47.527314,45.503942,0.984525,1.000000
337,32,47.527314,45.503942,0.984571,1.000000
338,31,48.865174,46.765676,0.984617,1.000000
339,30,50.135034,48.012677,0.984662,1.000000
340,30,50.135034,48.012677,0.984707,1.000000
341,30,50.135034,48.012677,0.984752,1.000000
342,32,49.142261,47.061931,0.984797,1.000000
343,35,47.724696,45.704375,0.984841,1.000000
344,36,47.270175,45.269095,0.984885,1.000000
345,35,48.501536,46.480605,0.984929,1.000000
346,37,47.594965,45.611809,0.984972,1.000000
347,38,47.154271,45.189477,0.985016,1.000000
348,39,46.721663,44.774895,0.985059,1.000000
349,39,46.721663,44.774895,0.985101,1.000000
350,39,46.721663,44.774895,0.985144,1.000000
351,38,47.940473,45.976896,0.985186,1.000000
352,38,47.940473,45.976896,0.985228,1.000000
353,39,47.504651,45.558924,0.985270,1.000000
354,40,47.076681,45.148483,0.985312,1.000000
355,40,47.076681,45.148483,0.985353,1.000000
356,40,47.076681,45.148483,0.985394,1.000000
357,40,47.076681,45.148483,0.985435,1.000000
358,42,46.243466,44.349395,0.985476,1.000000
359,42,46.243466,44.349395,0.985516,1.000000
360,41,47.480402,45.560707,0.985557,1.000000
361,41,47.480402,45.560707,0.985597,1.000000
362,41,47.480402,45.560707,0.985637,1.000000
363,42,47.063907,45.161052,0.985676,1.000000
364,42,47.063907,45.161052,0.985715,1.000000
365,42,47.063907,45.161052,0.985755,1.000000
366,42,47.063907,45.161052,0.985794,1.000000
367,41,48.326816,46.411590,0.985832,1.000000
368,41,48.326816,46.411590,0.985871,1.000000
369,41,48.326816,46.411590,0.985909,1.000000
370,41,48.326816,46.411590,0.985947,1.000000
371,42,47.906583,46.008011,0.985985,1.000000
372,42,47.906583,46.008011,0.986023,1.000000
373,41,49.203578,47.293255,0.986060,1.000000
374,41,49.203578,47.293255,0.986097,1.000000
375,41,49.203578,47.293255,0.986134,1.000000
376,40,50.513235,48.594851,0.986171,1.000000
377,40,51.374512,49.438633,0.986208,1.000000
378,42,50.503758,48.600690,0.986245,1.000000
379,44,49.662029,47.790679,0.986281,1.000000
380,44,49.662029,47.790679,0.986317,1.000000
381,44,49.662029,47.790679,0.986353,1.000000
382,44,49.662029,47.790679,0.986389,1.000000
383,45,49.251599,47.395714,0.986424,1.000000
384,45,49.251599,47.395714,0.986459,1.000000
