,L,Mean n-L
709,709,92.0738877279828
710,710,92.0755376344086
711,711,92.07718253565704
712,712,92.07882243142348
713,713,92.08046239373465
714,714,92.08210749502902
715,715,92.08375773561936
716,716,92.08540804317832
717,717,92.08705334496682
718,718,92.0887037863723
719,719,92.09035936770763
720,720,92.09201501623376
721,721,92.09366565879989
722,722,92.09531636835911
723,723,92.09696714491548
724,724,92.0986179884731
725,725,92.10026889903602
726,726,92.10192495027803
727,727,92.10358106873947
728,728,92.10523725442442
729,729,92.10689350733698
730,730,92.10854982748123
731,731,92.1102011406767
732,732,92.11185759519364
733,733,92.11351411695455
734,734,92.11517070596355
735,735,92.11683243682127
736,736,92.11849423514128
737,737,92.12015610092767
738,738,92.12181803418457
739,739,92.12346988489881
740,740,92.12512687779132
741,741,92.12678901317526
742,742,92.12845121604613
743,743,92.13010841098728
744,744,92.13176059769368
745,745,92.13341285148717
746,746,92.13507024810168
747,747,92.13672771201755
748,748,92.13837509136685
749,749,92.14001238553531
750,750,92.1416497461929
751,751,92.14328717334362
752,752,92.14492974333983
753,753,92.14657238004345
754,754,92.14821508345855
755,755,92.14985277693167
756,756,92.15148546015759
757,757,92.15311820969478
758,758,92.1547510255473
759,759,92.15638390771917
760,760,92.15801685621446
761,761,92.15964479376105
762,762,92.16127279743287
763,763,92.16289578975162
764,764,92.16452392558291
765,765,92.16615212755154
766,766,92.16778039566154
767,767,92.16940872991692
768,768,92.1710320523237
769,769,92.17265544067762
770,770,92.17427889498273
771,771,92.17590749355055
772,772,92.1775361582839
773,773,92.17916488918682
774,774,92.18078860764636
775,775,92.18240731335703
776,776,92.18402100601332
777,777,92.18563476423623
778,778,92.18724350900004
779,779,92.18885739826497
780,780,92.19046119463633
781,781,92.1920650561775
782,782,92.19366898289243
783,783,92.19527297478514
784,784,92.19689227080625
785,785,92.19850147312812
786,786,92.20011582070143
787,787,92.20173023388129
788,788,92.20334471267171
789,789,92.20495925707667
790,790,92.20657386710019
791,791,92.20818854274624
792,792,92.20980328401886
793,793,92.21141809092202
794,794,92.21303296345974
795,795,92.21465298242049
796,796,92.21626290545484
797,797,92.21786781293824
798,798,92.21947278565912
799,799,92.22107782362147
800,800,92.22268292682926
801,801,92.2242880952865
802,802,92.2258984105045
803,803,92.22750879118645
804,804,92.22910907390845
805,805,92.2307094216892
806,806,92.23231491645322
807,807,92.23392047649055
808,808,92.23552610180518
809,809,92.23713179240104
810,810,92.23873754828217
811,811,92.240323039704
812,812,92.24189843051151
813,813,92.24346372008864
814,814,92.2450189078193
815,815,92.24658432448918
816,816,92.24814980481457
817,817,92.24972043185653
818,818,92.25129112276849
819,819,92.25286187755434
820,820,92.25443269621798
821,821,92.2560035787633
822,822,92.25756944162023
823,823,92.25914045183724
824,824,92.26071152594761
825,825,92.26228266395526
826,826,92.26385386586408
827,827,92.26542004758709
828,828,92.26699137720654
829,829,92.26856277073885
830,830,92.27012914378686
831,831,92.27169049604426
832,832,92.27325191181257
833,833,92.27480830638436
834,834,92.27635967945328
835,835,92.27791111563104
836,836,92.27946261492148
837,837,92.28100909220349
838,838,92.28255054717057
839,839,92.28409206484815
840,840,92.28562855980472
841,841,92.28716003173376
842,842,92.28869156597095
843,843,92.29022316252009
844,844,92.29175482138498
845,845,92.29329162852203
846,846,92.29481832607722
847,847,92.2963399995931
848,848,92.29786173502605
849,849,92.2993835323798
850,850,92.30090539165819
851,851,92.30243239943844
852,852,92.30395946935786
853,853,92.30549677498118
854,854,92.30704431693322
855,855,92.30858683487638
856,856,92.31012941559499
857,857,92.31167205909286
858,858,92.31321476537381
859,859,92.31476262184327
860,860,92.31631562881563
861,861,92.31787378660535
862,862,92.31943200781473
863,863,92.32099538026334
864,864,92.32255881634647
865,865,92.3241121400224
866,866,92.32566552692637
867,867,92.32721388883235
868,868,92.3287775787674
869,869,92.33034642079339
870,870,92.3319102381437
871,871,92.3334741191557
872,872,92.33504824132878
873,873,92.33662242758565
874,874,92.33818650002036
875,875,92.33975063613232
876,876,92.34130974676329
877,877,92.34287401013782
878,878,92.34443833720125
879,879,92.3460027279575
880,880,92.34756209283388
881,881,92.34912152120361
882,882,92.35068101307057
883,883,92.35224565832604
884,884,92.35380527730271
885,885,92.35535986969357
886,886,92.35691961558823
887,887,92.35847942499949
888,888,92.36003929793127
889,889,92.36159923438741
890,890,92.36315923437182
891,891,92.36471929788837
892,892,92.36627942494094
893,893,92.36783961553343
894,894,92.36939986966969
895,895,92.37096018735363
896,896,92.37251038611926
897,897,92.37405555668697
898,898,92.37559569874954
899,899,92.37713590354575
900,900,92.37867617107943
901,901,92.38021650135441
902,902,92.38175689437452
903,903,92.38330244210441
904,904,92.38484296073
905,905,92.38639372644872
